"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
"3","无描述","袁隆平去世","2021-05-22","1","2021-05-22","887.85","160.88"
"2","2021创造营全新的男团诞生，来腾讯视频成团夜和大家一同见证！世界那么大，我们一起闯！","创造营成团名单","2021-04-24","2","2021-04-24","930.5","265.54"
"3",,"外交部","2021-01-19","3","2021-01-19","784.02","145.53"
"4","23日，赵丽颖冯绍峰官宣离婚，表示未来会共同抚养孩子。","赵丽颖冯绍峰离婚","2021-04-23","4","2021-04-23","859.17","281.43"
"5","今日中央政法委新闻网站官方微博发文评论称：作为中国公民，因为代孕在中国被禁止，就钻法律空子就跑去美国，这绝不是遵纪守法。","中央政法委评郑爽代孕弃养","2021-01-19","5","2021-01-19","815.22","302.71"
"6","综艺  ","张小斐毛衣","2021-02-11","6","2021-02-11","1431.7","196.4"
"7","@赵丽颖工作室 发声明称部分用户近日散布了关于赵丽颖的谣言。对于极其恶劣、严重伤害赵丽颖及其家人的不实言论以及涉嫌侵犯其名誉权的行为，坚决“零容忍”。","赵丽颖工作室声明","2021-01-22","7","2021-01-22","935.93","374.92"
"8","近日，郑爽爸爸接受采访正式道歉，称作为一个家长没有正确的引导孩子。","郑爽爸爸道歉","2021-01-23","8","2021-01-23","1771.79","307.04"
"9","今天，杨丞琳在微博发文“见面了”，表示自己终于和李荣浩见到面了。","杨丞琳李荣浩终于见面了","2021-01-23","9","2021-01-23","889.49","342.36"
"10","旅游  ","昆明","2021-01-22","10","2021-01-22","1281.8","312.12"
"11","天津公安机关对一名针对袁隆平院士逝世在网上发表侮辱性言论的男子采取刑事强制措施。英雄不容亵渎！ ​","男子侮辱袁老被采取刑事强制措施","2021-05-22","11","2021-05-22","1630.78","267.28"
"12","马可发微博宣布结婚：“谢谢大家的关心，两年多的家庭生活，在爱与被爱中学会责任、体会幸福，感谢生活让我成长。 ​​​”","马可宣布结婚","2021-01-28","12","2021-01-28","785.42","357.28"
"13","张雨剑发文承认已经结婚，但表示不应该拍小孩还把小孩名字曝光出来。","张雨剑承认有女儿","2021-03-15","13","2021-03-15","1106.33","316.26"
"14","中国女足与韩国女足奥预赛第二回合比赛结束，中国队在落后两球的情况下，凭借王霜的梅开二度，通过加时赛，总比分4-3战胜对手，昂首晋级东京奥运会！","中国女足晋级东京奥运会","2021-04-13","14","2021-04-13","1040.88","315.32"
"15",,"代孕","2021-01-18","15","2021-01-18","1324.26","345.69"
"16","疑似郑爽和张恒的孩子出生证明曝光，男孩是2019年12月19日在科罗拉多州出生，女孩是2020年1月4日在内华达州出生。","郑爽张恒孩子出生证明","2021-01-18","16","2021-01-18","999.25","144.47"
"17","明星  ","恭喜佟丽娅","2021-05-20","17","2021-05-20","1320.26","202.68"
"18","一位刚刚毕业的姑娘说，今年能以幸福的心情看春晚，已然不易，“希望明年比今年更好”。","女孩提到去年春节哽咽了","2021-02-11","18","2021-02-11","639.6","209.81"
"19","4月24日，黑龙江密山，被进村东北虎扑倒女子已手术结束。密山市人民医院护士说，该女子昨天做的手术，现在是术后第一天，主要肌肉损伤，目前状态良好、意识清醒。23日，一只成年东北虎闯进黑龙江村庄，扑倒正在田间工作的一名女子，随后路过村民将其救下送往医院救治。","被进村东北虎扑倒女子手术结束","2021-04-24","19","2021-04-24","1148.18","143.03"
"20","无描述","FILA中国退出BCI","2021-03-25","20","2021-03-25","894.28","396.72"
"21","社会  ","警方通报成都四十九中学生坠亡","2021-05-11","21","2021-05-11","1249.54","161.9"
"22","一位做过肛拭子采样女士接受采访时表示，自己做肛拭子采样全程约10秒，一次做两遍。专家表示，目前肛拭子采集只针对重点人群，是为提高检出率，减少漏诊。","肛拭子受采者讲述采样过程","2021-01-23","22","2021-01-23","835.71","195.25"
"23","明星  ","张鹤伦发文","2021-02-10","23","2021-02-10","644.83","340.57"
"24","明星  ","陈翔","2021-01-29","24","2021-01-29","1799.63","185.75"
"25","明星  ","金晨求网友删博","2021-02-07","25","2021-02-07","1366.95","294.01"
"26","资深演员廖启智3月28日晚因胃癌去世，享年66岁。","廖启智去世","2021-03-28","26","2021-03-28","973.24","173.41"
"27","社会  ","赵立坚连说3遍中国没有种族灭绝","2021-01-28","27","2021-01-28","947.75","122.44"
"28","综艺  ","开心麻花央视春晚节目被毙","2021-02-01","28","2021-02-01","1582","243.23"
"29",,"周迅躺着玩手机鼻梁被砸伤","2021-01-30","29","2021-01-30","1110.69","193.71"
"30","无描述","利路修翻白眼","2021-04-24","30","2021-04-24","1066.38","365.37"
"31","鹿晗今晚的直播截图来了，你觉得鹿晗的颜值状态怎么样？","鹿晗状态","2021-03-16","31","2021-03-16","1324.04","152.33"
"32","无描述","李莎旻子 我恋爱了","2021-05-07","32","2021-05-07","1287.86","182.86"
"33",,"首都航空JD5166航班","2021-01-24","33","2021-01-24","1724.37","313.5"
"34","96年出生的女孩洛洛在杭州工作三年，由于长期疑遭受家里的索取，心理压力很大。在2019年十月份，心情不好和男友吵架，去钱塘江散心，遇到涨潮意外去世。事后公司对家属补偿了6万元，但三天后其父母突然索赔41万，原因是要给弟弟买房子？","现实版樊胜美","2021-01-26","34","2021-01-26","1724.4","165.94"
"35","今天上海市第二中级人民法院对郑爽张恒民间借贷纠纷案进行了听证， 周俊表示，外界所传言的张恒以郑爽名义向外界高利贷是子虚乌有的。张恒方诉求是，将一审判决发回重审或改判。","张恒代理律师发声","2021-01-19","35","2021-01-19","1268.22","375.99"
"36","日政府不认为中国在新疆实施种族灭绝，赵立坚：绝大多数国家眼睛是雪亮的","日政府不认为中国在新疆实施种族灭绝","2021-01-27","36","2021-01-27","1576.01","179.94"
"37","《萌探探探案》太好笑，那英把杨紫拍飞了，太好笑了！","那英三巴掌拍飞杨紫","2021-05-28","37","2021-05-28","1065.89","217.75"
"38","明星  ","薛之谦","2021-02-03","38","2021-02-03","731.04","342.49"
"39","@马思纯 在本期#吐槽大会#上回应了自己被吐槽变胖的事情，说自己在拍摄《断桥》和《左耳》时，为了塑造角色七天瘦十斤、二十天瘦二十斤。","马思纯回应自己胖了","2021-03-14","39","2021-03-14","694.87","230.36"
"40","肖战提裙子后续来了，上台接受微博King荣誉时终于帮杨紫提到了裙摆！","肖战终于提到了杨紫的裙摆","2021-02-28","40","2021-02-28","1014.99","341.95"
"41","社会  ","第二只豹子已被狗咬死","2021-05-08","41","2021-05-08","1550.99","273.56"
"42","圆梦火星征途，海澜之家与你一起见证中国航天骄傲时刻！","天问一号登陆火星","2021-05-15","42","2021-05-15","1601.06","215.32"
"43","披着所谓“正义”外衣，却行不义勾当，H&M的声明何其伪善；在中国赚个盆满钵溢，却中伤中国、肆意栽赃，这种企业毫无基本商业伦理，逾越底线。","央视评HM抵制新疆棉花","2021-03-24","43","2021-03-24","946.59","415.46"
"44","文咏珊点赞了angelababy否认插足黄晓明李菲儿的文章，两人曾是亲密好友，后关系疏远。","文咏珊点赞Angelababy","2021-01-06","44","2021-01-06","1339.23","274.67"
"45","互联网  ","微信bug","2021-01-19","45","2021-01-19","1652.63","300.72"
"46",,"章子怡 我老公不仅出歌而且产瓜","2021-01-31","46","2021-01-31","774.09","405.02"
"47","借精心雕琢的“强迫劳动”概念“以疆制华”，详戳↓↓","BCI总部对华强硬内幕","2021-03-28","47","2021-03-28","1772.38","166.04"
"48","无描述","张恒被判归还借款2000万","2021-03-31","48","2021-03-31","862.15","103.82"
"49","张靓颖表示赵英俊是吃完止疼药在家录的《送你一朵小红花》，那之后她每次聊天的结尾都发小红花的表情给英俊。","赵英俊吃完止疼药在家录的小红花","2021-02-03","49","2021-02-03","1147.9","249.94"
"50","王迅: 你这脖子上顶的是个啥黄子韬: 一张英俊潇洒的脸[哈哈]帅哥你说的对！","黄子韬脖子上是一张英俊潇洒的脸","2021-02-11","50","2021-02-11","1314.02","122.06"
"51","社会  ","吴孟超逝世","2021-05-22","51","2021-05-22","1214.15","361.78"
"52","中美举行高层战略对话，第一场会议上，国务委员兼外长王毅发言时美方代表在传纸条。看↓","王毅发言时美方代表在传纸条","2021-03-19","52","2021-03-19","759.46","293.85"
